wavelength	taustar	t_lower_error	t_upper_error	Ro	Ro_lower_error	Ro_upper_error	line
5.039		0.18 	0.18 		0.80 		1.33 	0.15 		0.47		SXV(He-like)
6.182 		1.16 	0.54 		0.73 		1.08 	0.08 		0.28		SiXIV
6.648 		0.39 	0.19 		0.24 		1.74 	0.11 		0.14		SiXIII(He-like)
8.421 		0.85 	0.44 		0.65 		1.68 	0.19 		0.24		MgXII
9.169 		1.09 	0.34 		0.41 		1.76 	0.14 		0.17		MgXI(He-like)
11.544 		2.64 	0.76 		1.76 		1.01 	0.01 		1.49		NeIX
12.134 		2.75 	0.50 		0.68		1.18 	0.18 		0.45		NeX
15.014 		2.67 	1.04 		1.54		1.75 	0.75		0.73		FeXVII
